-1,0,15,30,45,60,75,90,105,120,135,150,165,180
8.25,-0.005990297,-0.005620794,-0.004898722,-0.004882727,-0.004325418,-0.00488403,-0.005335321,-0.006845298,-0.008785388,-0.01169234,-0.015859212,-0.020180643,-0.022137881
8.3,-0.005683049,-0.00534796,-0.004787413,-0.004775022,-0.004224113,-0.00473315,-0.005206042,-0.006653592,-0.008518218,-0.011336186,-0.015289683,-0.019434623,-0.021273074
8.35,-0.005400397,-0.0051118,-0.004709727,-0.004638316,-0.004148186,-0.004578587,-0.005090767,-0.006462329,-0.008261843,-0.010999073,-0.014752779,-0.018706963,-0.020447554
8.4,-0.00515764,-0.004919207,-0.004653943,-0.004475066,-0.004091057,-0.004423984,-0.004988091,-0.006273269,-0.008018588,-0.010675185,-0.014248937,-0.017994821,-0.0196577
8.45,-0.004962634,-0.004772616,-0.004605084,-0.004291709,-0.004044915,-0.004272897,-0.004894136,-0.006088607,-0.007787262,-0.010363056,-0.013777278,-0.017300336,-0.018893451
8.5,-0.004817289,-0.00466623,-0.00455045,-0.004097504,-0.004001763,-0.004128448,-0.004804741,-0.005910343,-0.007564936,-0.010063892,-0.013330543,-0.016631114,-0.018149951
8.55,-0.004714117,-0.004589874,-0.004480664,-0.003903273,-0.003953635,-0.003993543,-0.004716605,-0.005739365,-0.00735021,-0.009778798,-0.012902778,-0.015993932,-0.017431701
8.6,-0.004642387,-0.004531078,-0.004388101,-0.003722156,-0.003894652,-0.003870613,-0.0046273,-0.005575526,-0.007143168,-0.009507729,-0.012489402,-0.015392705,-0.016746511
8.65,-0.004587975,-0.004474463,-0.004269957,-0.003564597,-0.003822953,-0.003761577,-0.004535229,-0.005418539,-0.006945798,-0.009248538,-0.012088691,-0.01482655,-0.016098659
8.7,-0.004535344,-0.004409035,-0.004127366,-0.003438031,-0.003737987,-0.003666685,-0.004439396,-0.005268421,-0.00675877,-0.008997291,-0.01169934,-0.014292658,-0.015486971
8.75,-0.004470057,-0.004325621,-0.003964901,-0.003345591,-0.003640216,-0.003585308,-0.004339475,-0.005123779,-0.006581348,-0.008750015,-0.011318089,-0.013788573,-0.01490831
8.8,-0.004382642,-0.004219349,-0.003789613,-0.003285556,-0.003531999,-0.003515798,-0.004235737,-0.004984213,-0.006412904,-0.00850378,-0.010943328,-0.013311138,-0.014358018
8.85,-0.004268562,-0.004089685,-0.003610613,-0.003251916,-0.003416325,-0.003455099,-0.004128887,-0.004851825,-0.006252476,-0.008261782,-0.010577316,-0.012856659,-0.013837498
8.9,-0.004128506,-0.003939613,-0.003438332,-0.003236029,-0.003295677,-0.003400966,-0.004020067,-0.004727392,-0.006098771,-0.008026555,-0.010224391,-0.01242019,-0.013349719
8.95,-0.003967432,-0.003775037,-0.003282127,-0.003228388,-0.0031747,-0.003351184,-0.003910514,-0.004610548,-0.00595056,-0.007797448,-0.009886597,-0.011995613,-0.012890243
9,-0.003793387,-0.003603806,-0.003150307,-0.003218759,-0.003058123,-0.003302981,-0.003800706,-0.004500862,-0.005807201,-0.007570287,-0.009565046,-0.011581873,-0.012449716
9.05,-0.003616035,-0.00343488,-0.003047943,-0.003199969,-0.002949479,-0.003254025,-0.003691188,-0.004397792,-0.005668701,-0.007342236,-0.009259282,-0.011182079,-0.012021534
9.1,-0.003445113,-0.003277171,-0.002975767,-0.003166882,-0.002852176,-0.003202494,-0.003582563,-0.004300638,-0.005534916,-0.007115405,-0.00896779,-0.010798986,-0.011605999
9.15,-0.003289175,-0.003138132,-0.002930783,-0.003116759,-0.002768698,-0.003147069,-0.003475623,-0.004208652,-0.005404455,-0.006894135,-0.008689103,-0.010434916,-0.011209217
9.2,-0.003154842,-0.003023312,-0.002906997,-0.003049199,-0.002700084,-0.003087158,-0.003372829,-0.004121136,-0.005274826,-0.006680432,-0.008421113,-0.010089832,-0.010833922
9.25,-0.003046079,-0.002934585,-0.002896482,-0.002965671,-0.002645535,-0.003022699,-0.003276288,-0.004037351,-0.00514461,-0.00647547,-0.008164051,-0.009762589,-0.010478621
9.3,-0.002963338,-0.002871372,-0.002889941,-0.002868727,-0.002602906,-0.002953926,-0.003187033,-0.003956221,-0.005012433,-0.00628046,-0.007919236,-0.009452373,-0.010139872
9.35,-0.002904402,-0.002829783,-0.002880133,-0.002761639,-0.002569061,-0.002881375,-0.003105469,-0.003876745,-0.004879707,-0.006095564,-0.007685994,-0.009157855,-0.009814359
9.4,-0.002864695,-0.002803974,-0.002860345,-0.002648474,-0.002540615,-0.002805753,-0.003031634,-0.003798637,-0.004748434,-0.005920098,-0.007461111,-0.00887788,-0.00950127
9.45,-0.002837972,-0.002786148,-0.002826404,-0.00253292,-0.002514439,-0.002727904,-0.002965202,-0.003721422,-0.00461894,-0.005753093,-0.007243172,-0.008611332,-0.00920156
9.5,-0.002817018,-0.002769619,-0.002776482,-0.0024204,-0.002487629,-0.002648792,-0.002905455,-0.003644079,-0.004491512,-0.005594005,-0.007034418,-0.008356554,-0.008917259
9.55,-0.002795012,-0.002747781,-0.002710683,-0.002316691,-0.002457944,-0.002569535,-0.002851304,-0.003565613,-0.004366706,-0.005443168,-0.006836638,-0.008109576,-0.008647626
9.6,-0.002766142,-0.002715885,-0.002630577,-0.002226303,-0.002423933,-0.002491472,-0.002801468,-0.003485029,-0.004245095,-0.005301488,-0.006649377,-0.007869923,-0.00838956
9.65,-0.002726204,-0.002671212,-0.002538599,-0.0021527,-0.002384864,-0.002416078,-0.002754785,-0.003401907,-0.004127199,-0.0051685,-0.006471517,-0.007637156,-0.008136679
9.7,-0.00267288,-0.002612987,-0.002437644,-0.002097405,-0.002340464,-0.002344662,-0.002710332,-0.003317641,-0.004013534,-0.005043061,-0.006302144,-0.007411432,-0.007886996
