-1,0,15,30,45,60,75,90,105,120,135,150,165,180
5.35,0.110041346,0.063269963,-0.005665797,-0.033785305,-0.037265907,-0.037206641,-0.044015606,-0.060153104,-0.086528797,-0.127743976,-0.173771593,-0.183269095,-0.174732121
5.4,0.081019553,0.042630495,-0.012967819,-0.034764265,-0.036312234,-0.03553371,-0.042140694,-0.057873718,-0.083351168,-0.123800904,-0.171937955,-0.190184324,-0.188009329
5.45,0.056795184,0.025523547,-0.018933048,-0.035444581,-0.035358296,-0.033909678,-0.040328315,-0.055681326,-0.080301112,-0.119801578,-0.169200756,-0.194429052,-0.197340892
5.5,0.036751958,0.011518236,-0.023705228,-0.035879834,-0.03439636,-0.032366085,-0.038567092,-0.05353972,-0.077364379,-0.115791774,-0.165742002,-0.196408927,-0.203434727
5.55,0.020326301,0.000251748,-0.027410462,-0.036089847,-0.033392029,-0.030919933,-0.036858881,-0.051420546,-0.074525821,-0.111800316,-0.161723219,-0.196566483,-0.206872165
5.6,0.00697909,-0.008774593,-0.030231515,-0.036067761,-0.032326681,-0.029565561,-0.035218029,-0.049319973,-0.071784396,-0.10785224,-0.157291154,-0.195242263,-0.208124188
5.65,-0.003795762,-0.016061872,-0.032369599,-0.03579814,-0.031187102,-0.028295123,-0.033664847,-0.047259408,-0.06914145,-0.103970234,-0.152561276,-0.192682661,-0.207568791
5.7,-0.012455825,-0.021965673,-0.033979187,-0.035297933,-0.029972987,-0.027096207,-0.032210054,-0.045259728,-0.066593725,-0.10015549,-0.147630341,-0.189128531,-0.205514438
5.75,-0.019397006,-0.026608622,-0.035164911,-0.034599417,-0.028712727,-0.025958894,-0.03085432,-0.04333985,-0.064142911,-0.096409523,-0.142592035,-0.184811134,-0.202237327
5.8,-0.024936216,-0.030163315,-0.03599382,-0.033757627,-0.027440203,-0.024882204,-0.029593995,-0.041518824,-0.061789342,-0.092750992,-0.137528762,-0.179959008,-0.198005894
5.85,-0.02930331,-0.032958978,-0.03651523,-0.032841515,-0.026197444,-0.023855788,-0.028420458,-0.039804475,-0.059520949,-0.089198643,-0.132504795,-0.174731129,-0.193056016
5.9,-0.032667909,-0.035137628,-0.036770746,-0.031898219,-0.025002116,-0.022864365,-0.027318266,-0.038194512,-0.057319195,-0.085765222,-0.127554159,-0.16922906,-0.187573513
5.95,-0.035187189,-0.036657949,-0.036781855,-0.030959687,-0.023857,-0.021897951,-0.026269437,-0.036678965,-0.055158391,-0.082463572,-0.122698534,-0.163540164,-0.181705602
6,-0.037006009,-0.037590023,-0.036544917,-0.03002301,-0.022769622,-0.020961383,-0.025250606,-0.035243351,-0.053012871,-0.079294295,-0.117965531,-0.157714032,-0.17557547
6.05,-0.038245872,-0.038143931,-0.036085711,-0.029055456,-0.021734242,-0.020056963,-0.024239847,-0.033875939,-0.050880877,-0.076254399,-0.113371405,-0.151835929,-0.169285558
6.1,-0.039023011,-0.03843992,-0.035428694,-0.028034017,-0.020749331,-0.019188104,-0.023238023,-0.032567873,-0.048780148,-0.073337569,-0.108923212,-0.145995699,-0.162917032
6.15,-0.039457822,-0.038514975,-0.034597729,-0.026938857,-0.019819525,-0.018360604,-0.022256688,-0.031312454,-0.046742531,-0.070524298,-0.104617939,-0.14023943,-0.156534806
6.2,-0.039622161,-0.038398611,-0.03362606,-0.025775744,-0.018944447,-0.017581968,-0.021315937,-0.030102653,-0.044797214,-0.067799734,-0.100443179,-0.134591655,-0.150196149
6.25,-0.039539371,-0.038040276,-0.03254733,-0.024576121,-0.018125173,-0.016861589,-0.020428591,-0.028929118,-0.0429607,-0.065168555,-0.096392726,-0.129069284,-0.143945501
6.3,-0.039218187,-0.037447281,-0.031408706,-0.023391306,-0.017350552,-0.016204088,-0.01959967,-0.027785917,-0.041235243,-0.062638603,-0.092471862,-0.123671809,-0.13782137
6.35,-0.03865483,-0.036666691,-0.030237521,-0.022251412,-0.016610034,-0.015608132,-0.018821233,-0.026672017,-0.039608772,-0.060212715,-0.088690688,-0.118432854,-0.131870805
6.4,-0.037872249,-0.035721187,-0.029075119,-0.021152098,-0.015889135,-0.015064645,-0.01808391,-0.025585917,-0.038064139,-0.057882514,-0.085050817,-0.113371169,-0.126134511
6.45,-0.036899274,-0.034614313,-0.027941274,-0.020097722,-0.015180694,-0.014555571,-0.017388719,-0.024527218,-0.036585392,-0.055626739,-0.081544476,-0.108480651,-0.12061827
6.5,-0.035758879,-0.03335401,-0.026819574,-0.019096371,-0.01448371,-0.014065084,-0.016742768,-0.02349851,-0.035161076,-0.053426019,-0.078161867,-0.103766643,-0.115308952
6.55,-0.034511098,-0.03204898,-0.025665116,-0.018149914,-0.013809592,-0.013575395,-0.016150071,-0.02250444,-0.03378852,-0.051271226,-0.074886452,-0.099237593,-0.110199946
6.6,-0.033231528,-0.030778206,-0.024445984,-0.017261529,-0.013164639,-0.013076575,-0.015604908,-0.021550961,-0.032468053,-0.049158958,-0.071712248,-0.094903425,-0.105294052
